index, date, isRise20Pct, isRise40Pct, refMax, refMin, v_scale
1, 03/06/2012, 0, 0, 21147.0, 20855.0, 1.62222222222
2, 03/07/2012, 0, 0, 20674.0, 20503.0, 0.95
3, 03/08/2012, 1, 1, 20760.0, 20609.0, 0.838888888889
4, 03/09/2012, 0, 0, 21159.0, 20825.0, 1.85555555556
5, 03/12/2012, 1, 1, 21127.0, 20872.0, 1.41666666667
6, 03/13/2012, 0, 0, 21413.0, 21258.0, 0.861111111111
7, 03/14/2012, 0, 0, 21671.0, 21370.0, 1.67222222222
8, 03/15/2012, 0, 0, 21383.0, 21183.0, 1.11111111111
9, 03/16/2012, 0, 0, 21472.0, 21282.0, 1.05555555556
10, 03/19/2012, 0, 0, 21488.0, 21296.0, 1.06666666667
11, 03/20/2012, 0, 0, 21147.0, 20846.0, 1.67222222222
12, 03/21/2012, 0, 0, 21025.0, 20760.0, 1.47222222222
13, 03/22/2012, 0, 0, 20982.0, 20808.0, 0.966666666667
14, 03/23/2012, 0, 0, 20782.0, 20601.0, 1.00555555556
15, 03/26/2012, 0, 0, 20761.0, 20580.0, 1.00555555556
16, 03/27/2012, 1, 1, 21066.0, 20939.0, 0.705555555556
17, 03/28/2012, 1, 0, 21056.0, 20819.0, 1.31666666667
18, 03/29/2012, 0, 0, 20688.0, 20589.0, 0.55
19, 03/30/2012, 0, 0, 20530.0, 20400.0, 0.722222222222
20, 04/02/2012, 0, 0, 20647.0, 20403.0, 1.35555555556
21, 04/03/2012, 1, 1, 20680.0, 20555.0, 0.694444444444
22, 04/05/2012, 0, 0, 20659.0, 20384.0, 1.52777777778
23, 04/10/2012, 0, 0, 20448.0, 20278.0, 0.944444444444
24, 04/11/2012, 0, 0, 20131.0, 20019.0, 0.622222222222
25, 04/12/2012, 1, 1, 20305.0, 20094.0, 1.17222222222
26, 04/13/2012, 1, 1, 20705.0, 20580.0, 0.694444444444
27, 04/16/2012, 0, 0, 20620.0, 20487.0, 0.738888888889
28, 04/17/2012, 1, 0, 20649.0, 20379.0, 1.5
29, 04/18/2012, 0, 0, 20868.0, 20735.0, 0.738888888889
30, 04/19/2012, 1, 0, 20966.0, 20743.0, 1.23888888889
31, 04/20/2012, 0, 0, 21092.0, 20896.0, 1.08888888889
32, 04/23/2012, 0, 0, 20989.0, 20774.0, 1.19444444444
33, 04/24/2012, 0, 0, 20784.0, 20524.0, 1.44444444444
34, 04/25/2012, 1, 0, 20770.0, 20575.0, 1.08333333333
35, 04/26/2012, 1, 1, 20820.0, 20653.0, 0.927777777778
36, 04/27/2012, 0, 0, 20957.0, 20839.0, 0.655555555556
37, 04/30/2012, 1, 0, 20950.0, 20698.0, 1.4
38, 05/02/2012, 0, 0, 21244.0, 21053.0, 1.06111111111
39, 05/03/2012, 0, 0, 21170.0, 21012.0, 0.877777777778
40, 05/04/2012, 0, 0, 21027.0, 20914.0, 0.627777777778
41, 05/07/2012, 0, 0, 20542.0, 20305.0, 1.31666666667
42, 05/08/2012, 0, 0, 20480.0, 20236.0, 1.35555555556
43, 05/09/2012, 0, 0, 20203.0, 20067.0, 0.755555555556
44, 05/10/2012, 0, 0, 20178.0, 19906.0, 1.51111111111
45, 05/11/2012, 0, 0, 19893.0, 19710.0, 1.01666666667
46, 05/14/2012, 0, 0, 19853.0, 19622.0, 1.28333333333
47, 05/15/2012, 0, 0, 19712.0, 19443.0, 1.49444444444
48, 05/16/2012, 1, 0, 19467.0, 19082.0, 2.13888888889
49, 05/17/2012, 0, 0, 19296.0, 19078.0, 1.21111111111
50, 05/18/2012, 1, 1, 18746.0, 18464.0, 1.56666666667
51, 05/21/2012, 0, 0, 18860.0, 18705.0, 0.861111111111
52, 05/22/2012, 0, 0, 19075.0, 18885.0, 1.05555555556
53, 05/23/2012, 0, 0, 18706.0, 18524.0, 1.01111111111
54, 05/24/2012, 0, 0, 18752.0, 18581.0, 0.95
55, 05/25/2012, 0, 0, 18664.0, 18481.0, 1.01666666667
56, 05/28/2012, 0, 0, 18790.0, 18596.0, 1.07777777778
57, 05/29/2012, 0, 0, 18950.0, 18632.0, 1.76666666667
